res_detail1_1,res_detail1_2,res_detail2_1,res_detail2_2,res_detail3,res_detail4,res_detail5_1,res_detail5_2
1.49196914244674,6.22146159070095,0,1,y1,0,1.49196914244674,6.22146159070095
2.18683277038047,2.2438448761663,0,1,y1,0,2.18683277038047,5.00000027518291
5.65560413797137,1.14382556768633,1,0,y2,0,10.0000010443495,1.14382556768633
2.10672346819582,3.9508111406952,0,1,y1,0,2.10672346819582,5.00000027800483
5.7975462767062,2.52176316245041,0,1,y1,0,5.7975462767062,5.00000027721041
1.93368563498076,5.56319738304588,0,1,y1,0,1.93368563498076,5.56319738304588
4.98058578055719,3.59069912214265,0,1,y1,0,4.98058578055719,5.00000027191432
4.31360804602154,0.362140498851025,1,0,y2,0,10.0000007552635,0.363156799396288
2.51117417926012,4.47838967182613,0,1,y1,0,2.51117417926012,5.00000026282208
0.234233390198035,3.71720420610566,0,1,y1,0,0.234233390198035,5.00000027505074
5.09976762614926,1.9938669561615,0,1,y1,0,5.09976762614926,5.000000278202
6.54293440333074,0.0996077825312058,1,0,y2,0,10.0000011632727,0.0996077825312058
2.54104476366088,1.72804623971912,0,1,y1,0,2.54104476366088,5.0000002749824
5.8883650986444,0.95489362080502,1,0,y2,0,10.0000010503912,0.95489362080502
1.88112831488878,4.10373329669548,0,1,y1,0,1.88112831488878,5.0000002780451
6.9113242817792,1.78402026875097,0,1,y1,0,6.9113242817792,5.00000027835129
0.0811546963630472,6.26142849765611,0,1,y1,0,0.0811546963630472,6.26142849765611
6.22737657023279,1.1620100310928,1,0,y2,0,10.0000011500146,1.1620100310928
0.924593638666387,4.47156802074822,0,1,y1,0,0.924593638666387,5.00000027372451
1.14529851449907,2.31656527371422,0,1,y1,0,1.14529851449907,5.00000028197745
4.87929783121427,5.09307741678243,0,1,y1,0,4.87929783121427,5.09307741678243
1.28199820882554,4.61302721961184,0,1,y1,0,1.28199820882554,5.00000026733902
3.39422380403193,4.86518002414032,0,1,y1,0,3.39422380403193,5.00000027476652
4.65610809275184,3.49071776335989,0,1,y1,0,4.65610809275184,5.00000027513726
2.48634527220333,3.06485360646478,0,1,y1,0,2.48634527220333,5.0000002664762
4.09127815146342,0.81295348899992,1,0,y2,0,10.0000010213269,0.813704353902568
6.10032762986926,0.513445882292015,1,0,y2,0,10.000001069774,0.513445882292015
2.91140876899277,3.48256782686799,0,1,y1,0,2.91140876899277,5.00000026703633
8.0142445223648,0.0744775785271123,1,0,y2,0,10.000001030915,0.0744775785271123
0.885994097280385,6.36955628500149,0,1,y1,0,0.885994097280385,6.36955628500149
1.25887543480433,1.69369816513219,0,1,y1,0,1.25887543480433,5.00000026976778
2.4461042685178,6.57061781798404,0,1,y1,0,2.4461042685178,6.57061781798404
2.99288698800163,5.17548937317388,0,1,y1,0,2.99288698800163,5.17548937317388
3.93305047777522,6.02885026244748,0,1,y1,0,3.93305047777522,6.02885026244748
2.69264498545824,0.138875605151001,1,0,y2,0,10.0000009934161,0.154085556826352
0.983724771727348,4.08160494706782,0,1,y1,0,0.983724771727348,5.00000026739502
2.86129677243753,0.737912542253424,0,1,y1,0,3.35528993352054,5.00000027842144
2.92171119089944,4.79048475605343,0,1,y1,0,2.92171119089944,5.00000027809455
1.68765230463638,1.09618489299263,0,1,y1,0,1.68765230463638,5.00000027787238
6.62257518909508,0.416408671415529,1,0,y2,0,10.0000011827423,0.416408671415529
6.67143175024565,1.64448326046842,1,0,y2,0,10.0000011010187,1.64448326046842
1.27543578330844,7.4619761931351,0,1,y1,0,1.27543578330844,7.4619761931351
2.27973060511548,4.55954523227568,0,1,y1,0,2.27973060511548,5.00000027249883
2.50772270476203,4.64631366641908,0,1,y1,0,2.50772270476203,5.0000002620189
0.157002978016978,2.3818975336007,0,1,y1,0,0.157002978016978,5.00000027787819
4.63107931999454,3.21409739123546,0,1,y1,0,4.63107931999454,5.00000026572279
1.21529621764309,1.64964319569797,0,1,y1,0,1.21529621764309,5.00000028018143
3.90286354954368,4.91009038569068,0,1,y1,0,3.90286354954368,5.0000002778959
1.34687846181252,0.782720643912991,0,1,y1,0,1.34687846181252,5.00000028082345
2.15752548572409,4.58577099117379,0,1,y1,0,2.15752548572409,5.00000027782876
3.77651985246713,4.2971212509356,0,1,y1,0,3.77651985246713,5.0000002731353
2.94971779393181,0.0940019131599568,1,0,y2,0,10.0000010685083,0.101474971258741
0.195292516106721,0.449117021474967,0,1,y1,0,0.195292516106721,5.00000027784114
3.47105936310228,0.738873303846009,1,0,y2,0,10.0000010094403,0.778827865859292
4.6893626134384,1.00158551699027,1,0,y2,0,10.0000010664166,1.00158551699027
2.95504689425707,0.087363273575074,1,0,y2,0,10.0000010494942,0.0942443687756418
5.99365476285988,0.238252262957201,1,0,y2,0,10.0000011543279,0.238252262957201
0.883070969793208,3.2117224979861,0,1,y1,0,0.883070969793208,5.00000027552703
3.31157611219188,2.18983045452404,0,1,y1,0,3.31157611219188,5.00000027492469
4.03710386828345,1.68035860414994,0,1,y1,0,4.03710386828345,5.00000027806508
1.91924911858022,1.47657366111499,0,1,y1,0,1.91924911858022,5.00000028000829
2.56421276013529,1.61157554378826,0,1,y1,0,2.56421276013529,5.00000027629688
2.58247122057426,2.2118385636268,0,1,y1,0,2.58247122057426,5.00000027032888
8.76575288485262,1.13617064368171,1,0,y2,0,10.0000010654915,1.13617064368171
1.69381747931179,5.46361938782496,0,1,y1,0,1.69381747931179,5.46361938782496
0.401636314024388,8.33659735517587,0,1,y1,0,0.401636314024388,8.33659735517587
