res_detail1_1,res_detail1_2,res_detail2_1,res_detail2_2,res_detail3,res_detail4,res_detail5_1,res_detail5_2
1.99405640343579,6.90481107975144,0,1,0W,0,1.99405640343579,6.90481107975144
0.473836127395193,4.57185555739158,0,1,0W,0,0.473836127395193,4.57185555739158
1.91716633766772,1.80910050579206,0,1,0W,0,1.91716633766772,4.01058117445758
0.832633020036601,7.37783532857235,0,1,0W,0,0.832633020036601,7.37783532857235
3.65092445302306,2.59879233512401,0,1,0W,0,3.65092445302306,4.010581134249
5.38186281726848,1.02868655584603,1,0,M0,0,9.88679026406834,1.02868655584603
1.26171055216481,4.86838576272175,0,1,0W,0,1.26171055216481,4.86838576272175
2.17114401167573,3.34653241797807,0,1,0W,0,2.17114401167573,4.01058113360511
1.79369228353185,1.37249570485767,0,1,0W,0,1.79369228353185,4.01058112527947
6.36613176039723,3.42370498358343,0,1,0W,0,6.36613176039723,4.01058111643241
2.87433169207212,6.90969133385551,0,1,0W,0,2.87433169207212,6.90969133385551
0.667316355944169,5.15503730671977,0,1,0W,0,0.667316355944169,5.15503730671977
5.67705637057327,0.287838521889522,1,0,M0,0,9.88679023172308,0.287838521889522
8.30410451858429,1.46051007457936,1,0,M0,0,9.88679041098228,1.46051007457936
1.23563240557987,6.98043275779541,0,1,0W,0,1.23563240557987,6.98043275779541
4.12937450653083,1.77022685264937,0,1,0W,0,4.12937450653083,4.01058112354178
4.45940335201462,0.427253217514986,1,0,M0,0,9.88679036708393,0.427253217514986
0.583105305277044,5.62704521454811,0,1,0W,0,0.583105305277044,5.62704521454811
1.8248640334595,0.36720920663325,1,0,M0,0,9.88679035821699,0.441655821752221
0.086469912673669,8.48763680287384,0,1,0W,0,0.086469912673669,8.48763680287384
0.823151315847708,6.80691500994513,0,1,0W,0,0.823151315847708,6.80691500994513
0.207274030896688,9.37473364408447,0,1,0W,0,0.207274030896688,9.37473364408447
7.22538522982083,2.38129737469554,1,0,M0,0,9.88679040242027,2.38129737469554
2.39034748169871,0.0945769514166739,1,0,M0,0,9.8867903731226,0.102163960794198
3.85849082505246,5.20044183844123,0,1,0W,0,3.85849082505246,5.20044183844123
3.08707709718968,4.55651042564702,0,1,0W,0,3.08707709718968,4.55651042564702
1.56671594748563,5.87043736320958,0,1,0W,0,1.56671594748563,5.87043736320958
6.74867612504795,1.40372920679511,1,0,M0,0,9.88679023392268,1.40372920679511
6.61157941207177,1.47496968975324,1,0,M0,0,9.88679035842617,1.47496968975324
8.27165971608997,0.633622942542389,1,0,M0,0,9.88679042231619,0.633622942542389
1.76317844672073,6.59659608626676,0,1,0W,0,1.76317844672073,6.59659608626676
2.68964207365184,0.928826403633446,1,0,M0,0,9.8867904080065,0.950993534724165
0.337809817365633,0.600127113081763,0,1,0W,0,0.337809817365633,4.01058113141361
3.58983364428936,1.403209247144,1,0,M0,0,9.88679036918332,1.403209247144
5.48814407176941,2.14914168677831,1,0,M0,0,9.88679037643141,2.14914168677831
0.456771342516425,7.95160147479138,0,1,0W,0,0.456771342516425,7.95160147479138
0.203137428452521,3.17148764677997,0,1,0W,0,0.203137428452521,4.01058114772674
5.94670127114666,2.20084798228906,1,0,M0,0,9.88679042019115,2.20084798228906
4.50331588975054,3.28796811291287,0,1,0W,0,4.50331588975054,4.01058112796187
1.43124883156036,6.87097800833267,0,1,0W,0,1.43124883156036,6.87097800833267
3.66925470130611,5.75272005400395,0,1,0W,0,3.66925470130611,5.75272005400395
2.81741462298329,0.318337893122714,1,0,M0,0,9.88679041577151,0.328408640438658
0.558111660038936,3.72285344658984,0,1,0W,0,0.558111660038936,4.01058113382182
6.18204336814276,3.69524598421659,0,1,0W,0,6.18204336814276,4.01058113937941
0.759055537221434,3.50939049964014,0,1,0W,0,0.759055537221434,4.01058111596053
1.4632914191053,4.47943128989908,0,1,0W,0,1.4632914191053,4.47943128989908
1.71116029400377,4.46316664966494,0,1,0W,0,1.71116029400377,4.46316664966494
1.19815068827184,8.43963708117292,0,1,0W,0,1.19815068827184,8.43963708117292
1.48289619784822,1.4976628267422,0,1,0W,0,1.48289619784822,4.01058111637217
5.72360363455503,0.497933317238461,1,0,M0,0,9.88679040175182,0.497933317238461
0.19815828503036,6.13391265412789,0,1,0W,0,0.19815828503036,6.13391265412789
0.639924880025496,5.94425181685156,0,1,0W,0,0.639924880025496,5.94425181685156
0.193895120268143,3.69817133345188,0,1,0W,0,0.193895120268143,4.01058112199842
1.78912277075967,1.99444858674701,0,1,0W,0,1.78912277075967,4.0105811338932
4.56809163382742,3.79522595962869,0,1,0W,0,4.56809163382742,4.01058112528244
7.27868192885421,2.28319722987345,1,0,M0,0,9.88679035462323,2.28319722987345
5.24036750901248,0.260876714030653,1,0,M0,0,9.88679036236318,0.260876714030653
6.76085637321421,0.0224825563456188,1,0,M0,0,9.88679035955344,0.0224825563456188
5.28090801026074,4.11690596735537,0,1,0W,0,5.28090801026074,4.11690596735537
7.45666271910324,0.731278702420953,1,0,M0,0,9.88679035492416,0.731278702420953
6.91009699709124,0.668273303673931,1,0,M0,0,9.88679030699012,0.668273303673931
2.82899220600715,5.44335780593586,0,1,0W,0,2.82899220600715,5.44335780593586
6.00990619899626,0.485456300625585,1,0,M0,0,9.886790440083,0.485456300625585
0.32110346861673,4.86309971758245,0,1,0W,0,0.32110346861673,4.86309971758245
2.51640967361284,1.12976644227901,0,1,0W,0,2.5536725809895,4.01058112233786
0.844056319115547,1.77233809591704,0,1,0W,0,0.844056319115547,4.01058113400379
2.23895511169066,0.202527360182425,1,0,M0,0,9.88679038391978,0.222919692956778
0.0108145778794777,4.82726472033478,0,1,0W,0,0.0108145778794777,4.82726472033478
4.03486436446623,5.38069517316731,0,1,0W,0,4.03486436446623,5.38069517316731
0.858901792710964,4.08700063235949,0,1,0W,0,0.858901792710964,4.08700063235949
4.80901530949867,4.34580430650616,0,1,0W,0,4.80901530949867,4.34580430650616
3.22796122351443,1.77441275488108,0,1,0W,0,3.22796122351443,4.01058113528185
8.90465696305578,0.50241563432964,1,0,M0,0,9.88679039245591,0.50241563432964
3.71729116210106,5.25161070572253,0,1,0W,0,3.71729116210106,5.25161070572253
4.62076708947474,3.63348418178587,0,1,0W,0,4.62076708947474,4.0105811146032
3.28306792603995,3.6285169476085,0,1,0W,0,3.28306792603995,4.01058113371305
1.12964555029324,8.56639988493867,0,1,0W,0,1.12964555029324,8.56639988493867
1.01630124304003,4.81965841052414,0,1,0W,0,1.01630124304003,4.81965841052414
4.67942909099882,1.88951194808982,1,0,M0,0,9.88679040073607,1.88951194808982
8.58635512316274,1.0524493701895,1,0,M0,0,9.8867903741734,1.0524493701895
0.146464393215043,8.74113653104449,0,1,0W,0,0.146464393215043,8.74113653104449
4.21734305432572,5.54870793836241,0,1,0W,0,4.21734305432572,5.54870793836241
2.53102842374749,0.516319647431963,1,0,M0,0,9.88679037502328,0.544784670580263
0.195641577202991,3.02332661728978,0,1,0W,0,0.195641577202991,4.01058113373487
4.6166812187176,2.43683986850836,0,1,0W,0,4.6166812187176,4.01058113233537
4.19261292600484,4.75571553674379,0,1,0W,0,4.19261292600484,4.75571553674379
1.60081408395257,3.85454894172426,0,1,0W,0,1.60081408395257,4.01058112941455
2.74262519130003,2.21922972900968,0,1,0W,0,2.74262519130003,4.01058114942525
5.7506831296032,0.197736614258154,1,0,M0,0,9.88679034808685,0.197736614258154
1.57537633996544,0.222059370017312,1,0,M0,0,9.88679037980879,0.281631287765086
4.83525380583315,5.11598074093743,0,1,0W,0,4.83525380583315,5.11598074093743
0.809891051406205,0.725862386030937,0,1,0W,0,0.809891051406205,4.01058113342927
3.51315354583633,5.47113526682839,0,1,0W,0,3.51315354583633,5.47113526682839
8.70761389941173,1.12147042430857,1,0,M0,0,9.88679030658463,1.12147042430857
6.43649088028729,1.11843905389175,1,0,M0,0,9.88679041973738,1.11843905389175
1.02344199623342,1.7482066212139,0,1,0W,0,1.02344199623342,4.01058114702891
3.34095204746764,3.31706598937135,0,1,0W,0,3.34095204746764,4.01058111623018
3.24964617335107,0.592280095138468,1,0,M0,0,9.88679042439181,0.593238427767716
2.85755513898695,6.70991763912762,0,1,0W,0,2.85755513898695,6.70991763912762
6.95675154578346,1.77501371398287,1,0,M0,0,9.88679032257386,1.77501371398287
3.68991628409635,5.03211899578961,0,1,0W,0,3.68991628409635,5.03211899578961
2.41094997217505,3.21925200128267,0,1,0W,0,2.41094997217505,4.01058110677555
3.58314442247892,0.240928795074475,1,0,M0,0,9.88679037808324,0.241186183027207
5.50438596583894,2.16788008055791,1,0,M0,0,9.88679044771991,2.16788008055791
5.58915888764945,2.26742187033608,1,0,M0,0,9.88679024764256,2.26742187033608
5.86357104384749,1.78890163296155,1,0,M0,0,9.88679042443241,1.78890163296155
7.7095414195477,1.7977735273356,1,0,M0,0,9.88679027670546,1.7977735273356
0.582720762441274,7.91921947137179,0,1,0W,0,0.582720762441274,7.91921947137179
1.7634008934735,3.90333025762672,0,1,0W,0,1.7634008934735,4.01058113924257
0.557937326502497,4.26874376118062,0,1,0W,0,0.557937326502497,4.26874376118062
8.14594845327107,0.93235205270789,1,0,M0,0,9.88679035785233,0.93235205270789
3.31836860052971,5.52226439581206,0,1,0W,0,3.31836860052971,5.52226439581206
5.91757416722844,0.13972141266117,1,0,M0,0,9.88679034828925,0.13972141266117
2.1596023466391,5.2587119965899,0,1,0W,0,2.1596023466391,5.2587119965899
3.62156911551835,4.78576279712488,0,1,0W,0,3.62156911551835,4.78576279712488
2.76685092613023,5.00434400818036,0,1,0W,0,2.76685092613023,5.00434400818036
1.86642083341881,3.3173837551892,0,1,0W,0,1.86642083341881,4.01058113031015
5.15290505502773,1.22501636358986,1,0,M0,0,9.88679038215468,1.22501636358986
0.955292141782826,8.53046995391894,0,1,0W,0,0.955292141782826,8.53046995391894
2.31489708443592,0.606628561105541,1,0,M0,0,9.88679044145299,0.661203725430798
3.97459517942174,1.54898026645101,1,0,M0,0,9.88679010517009,1.54898026645101
4.68016698724753,4.94470121947388,0,1,0W,0,4.68016698724753,4.94470121947388
2.55311642412709,2.84173172682129,0,1,0W,0,2.55311642412709,4.01058113664851
2.20562826365777,1.19814952525691,0,1,0W,0,2.20562826365777,4.01058113958261
6.04892873637445,1.13395400087823,1,0,M0,0,9.88679041580762,1.13395400087823
0.415761276361695,2.80632388651468,0,1,0W,0,0.415761276361695,4.01058112170869
2.69002572103944,4.65436880822775,0,1,0W,0,2.69002572103944,4.65436880822775
0.72946970945627,4.40661262727509,0,1,0W,0,0.72946970945627,4.40661262727509
6.49749723308248,0.919937148755879,1,0,M0,0,9.8867904249304,0.919937148755879
1.59266819302792,7.00766329275432,0,1,0W,0,1.59266819302792,7.00766329275432
0.583959909617818,3.7129494031185,0,1,0W,0,0.583959909617818,4.01058114295009
