res_detail1_1,res_detail1_2,res_detail2_1,res_detail2_2,res_detail3,res_detail4,res_detail5_1,res_detail5_2
1.73748387860837,0.835986469962174,0,1,y1,0,1.73748387860837,6.47058866107046
0.336203188857562,8.46909761600972,0,1,y1,0,0.336203188857562,8.46909761600972
6.00317096126059,0.468398379405109,1,0,y2,0,10.0000010576687,0.468398379405109
7.4028551333172,1.86000763886076,0,1,y1,0,7.4028551333172,6.4705886562851
3.8666534018492,5.13919921666278,0,1,y1,0,3.8666534018492,6.4705886664571
6.65065328215733,2.12677022688196,0,1,y1,0,6.65065328215733,6.47058866019424
0.507872099670517,1.53268519038428,0,1,y1,0,0.507872099670517,6.47058865711467
5.88157466908253,2.87101246172551,0,1,y1,0,5.88157466908253,6.47058866525636
4.5578258112324,1.9915576872099,0,1,y1,0,4.5578258112324,6.47058864799232
1.34434090154139,7.45630708212908,0,1,y1,0,1.34434090154139,7.45630708212908
3.17075293743707,4.57694187138066,0,1,y1,0,3.17075293743707,6.47058865756763
3.23656513702208,4.50666416601139,0,1,y1,0,3.23656513702208,6.47058866037673
3.90046868392739,0.0166804272495924,1,0,y2,0,10.0000010648794,0.0187157201187951
1.59904969912806,3.0748883892079,0,1,y1,0,1.59904969912806,6.47058866282302
5.5463664670154,1.57745909241042,0,1,y1,0,5.5463664670154,6.47058865818993
6.58080327785045,0.54946881964219,1,0,y2,0,10.0000010535613,0.54946881964219
3.90861869758532,4.30918180724639,0,1,y1,0,3.90861869758532,6.47058866232617
0.0206640075264108,3.72943390516572,0,1,y1,0,0.0206640075264108,6.47058865705614
3.90519871829858,0.593498685559292,1,0,y2,0,10.0000010447682,0.729307459441323
6.07967107379504,2.59640101440135,0,1,y1,0,6.07967107379504,6.47058866019014
2.35517539991377,5.39815136342687,0,1,y1,0,2.35517539991377,6.47058865674036
3.65329476270316,2.59531841074556,0,1,y1,0,3.65329476270316,6.47058865822474
0.408708162502137,8.47364577418308,0,1,y1,0,0.408708162502137,8.47364577418308
2.22380368731968,5.99207911985387,0,1,y1,0,2.22380368731968,6.47058866193277
1.36200220001298,2.30520236619234,0,1,y1,0,1.36200220001298,6.47058866029472
5.51085223309062,1.39363780210566,0,1,y1,0,5.51085223309062,6.47058864688806
0.441921695604527,7.75398716506071,0,1,y1,0,0.441921695604527,7.75398716506071
6.30113895630982,3.37845044036891,0,1,y1,0,6.30113895630982,6.47058865669392
8.55090300930251,0.381731251940818,1,0,y2,0,10.0000010932863,0.381731251940818
0.977880512503182,4.27613663826686,0,1,y1,0,0.977880512503182,6.47058865944604
